НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33738071,11-04-2022 12:58, ,Футбол. FIFA 22. ESportsBattle. Champions League. 2x4 мин.,Канада (BOSSVLADOS0_0),Китай (ROM1PR)
1,33737661,11-04-2022 12:58, ,Футбол. FIFA 22. H2H LIGA. 2x4 мин. Хабаровск,Кузнецов И,Лукьянов А
2,33739652,11-04-2022 12:58, ,Футбол. FIFA 22. ESportsBattle. Bundesliga. 2x4 мин,Дражич М,Темин М
