НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33739729,11-04-2022 12:58, ,Гандбол. Румыния. 1-я лига,Никлес Й,Моллекер Р
1,33745721,11-04-2022 12:58, ,Гандбол,Реал М (votizlove),Ман. Юнайтед (Luntik)
