НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33737915,11-04-2022 12:58, ,Баскетбол. NBA 2K22. Лига про. Западная конференция. Дивизион Amethyst. Хабаровск. 4x5. twitch.tv/ligapro6/ligapro8,Мемфис Гриззлис (Hotniq30),Бруклин Нетс (AntoxaCreative)
1,33738035,11-04-2022 12:58, ,Баскетбол,Конвалинка О,Хейда В мл
2,33737593,11-04-2022 12:58, ,Баскетбол. Австралия. Чемпионат NBL,Скаченко С,Велиев А
3,33746167,11-04-2022 12:58, ,Баскетбол. NBA 2K21. H2H LIGA. Worldbasket. Хабаровск 4x5. twitch.tv/h2h_ebasketball,Мутл Д,Вильгельм П
4,33737568,11-04-2022 12:58, ,Баскетбол. А-лига. Грузия,Жамбылская Область,Караганда
5,33737900,11-04-2022 12:58, ,Баскетбол. Казахстан. Высшая лига,Аккорси К,Хийску А
6,33739730,11-04-2022 12:58, ,Баскетбол. Юж. Корея. KBL. 1/4 финала. До 3-х побед,Соуза Педро,Маросан Ф
7,33715833,11-04-2022 12:58, ,Баскетбол 3x3. Лига Про. Россия. Хабаровск,Кингстон Сити,Норткот Сити
8,33674853,11-04-2022 12:58, ,Баскетбол 3x3,Кимпхо Ситизен,Кеннам
