НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33691058,11-04-2022 12:58, ,Теннис. ATP. Монте-Карло. Грунт,Альянс-про,Пайп-про
1,33725630,11-04-2022 12:58, ,Теннис,Аделаида 36е,Брисбен Буллетс
2,33735378,11-04-2022 12:58, ,Теннис. ATP. Челленджер. Мадрид. Квалификация,Прокупек Я,Яблоновски Я
3,33725297,11-04-2022 12:58, ,Теннис. Муж. Фьючерс. Великобритания. Квалификация,Кабал Х-С/Фара Р,Жийе С/Флиген Й
4,33732295,11-04-2022 12:58, ,Теннис. Жен. ITF. Беллинцона. Квалификация,Мобис Фобус,Орионс
5,33681302,11-04-2022 12:58, ,Теннис. Жен. ITF. Франция. Квалификация,Imperial,Sao Caetano Esports
6,33716797,11-04-2022 12:58, ,Теннис. ATP. Пары. Монте-Карло. Грунт,Амур-Про,Зенит-Про
7,33740731,11-04-2022 12:58, ,Теннис. ATP. Челленджер. Барлетта. Квалификация,Англия U23 (ж),Нидерланды U23 (ж)
