НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33738086,11-04-2022 12:58, ,Хоккей. NHL 22. H2H LIGA. 3x3 мин. Хабаровск,Лунг Д,Дару Ж
1,33745362,11-04-2022 12:58, ,Хоккей,Бавария (Zzakki),Байер Л (kivich49)
